review,Trang,Uyên,Đạt,Gold
"""Cuties es mas que una pelicula, es un estilo de vida""  -Albert einstein",2,2,2,-
"""cuties no solo es una película es un estilo de vida""",2,2,2,-
"""Cuties"" The new Netflix Trailer brought to you by Jeffrey Epstein",1,1,1,1
"""Dislike Count:""2M ""Sub Count:""3M  (Not talking about the veiws)",0,0,0,0
"""Do you know where the devil is?"" Yes, in the director's minds.",0,0,0,0
"""do you support pedophilia?"" ""a simple yes or no will suffice""  netflix: we cant really comment on that but",0,0,0,0
"""Don't fuck with Ricegum"" actually had me dying like everybody fuckin with your ass",1,0,1,-
"""Don't make children be adult."" - Mahatma Gandi",2,2,2,-
"""Don't tell me.. no way! you stole it. Badass"" 💀",0,0,0,0
"""Eleven-year-old Amy starts to rebel against her conservative family’s traditions when she becomes fascinated with a free-spirited dance crew.""  ""fascinated""  ""free-spirited dance crew""  Whatever the director was on, I want some of that shit too.",0,1,1,-
"""Eleven-year-old Amy starts to rebel against her conservative family’s traditions when she becomes fascinated with a free-spirited dance crew.""  If this was the result, maybe being conservative wasn't really that bad at all.",1,1,1,1
"""Eleven-year-old Amy starts to rebel against her conservative family’s traditions when she becomes fascinated with a free-spirited dance crew."" i hate this description, Should have said "" Amy joins a bunch of minors that dress and act sexually and this movie is made for Pedos, enjoy creeps.""",0,0,0,0
"""Even the devil fears the director of Cuties"" -Confucius",0,0,0,0
"""everyday this day gets more stupid."" - some guy who's stuck in the worst year which is 2020",0,0,0,0
"""Everyday we stray further from God""",1,1,1,1
"""Fall Collection, ....Ikea"" LOL, the best dialogue😂😂",1,1,1,1
"""Free spirited dance group"" rebelling against conservative parents... I guess im conservative for not wanting to sexualize 11 year olds",0,0,0,0
"""free spirited""  definitely,  true,  correct, shaking arse is ""free spirited""",0,1,0,-
"""free-spirited"" dance crew lol",0,1,0,-
"""Fuck with RiceGum and your life's done""... Congrats on -100,000 subs last year, in terms of absolute values you're still crushing against 2016 Connor Franta! Keep up the good work!",1,1,1,1
"""Fun isn't something one considers when balancing the universe."" 2.1 million dislikes ""But This... does put a smile on my face.""",0,1,1,-
"""gotta flex, flex, flex. cause when you've got no personality  replace it with a rolex."" -dave",2,2,2,-
"""He ain't got no points he confuses you with big words."" Have you ever seen anything so sad?",0,0,0,0
"""He confuses you with big words."" If you think about that, he means that he's not smart enough to understand a word with more than 4 syllables.",0,2,1,-
"""He confuses you with big words""  That's all that needs to be said",1,1,1,1
"""He confuses you with big words"" has to be my favorite line at 1:16 to really show how smart he really is",1,2,2,-
"""he don't got a point he confuses you with big words"" that speaks a lot about ricegum considering the biggest word was borderline",2,2,2,-
"""Heres your sweatshirt. It just crawled all over the floor"" ""Oh, Thanks!"" Moral of the song:  Give a girl her sweatshirt after its been all over the floor and you'll get a girlfriend",1,1,1,1
"""hey guys, lets make a movie about an 11 year old twerking"" "" sounds great john i love it. how about we advertise it to adults"" ""Great idea!! we could also make the antagonist someone who doesnt want the underage daughter to be sexualized!"" ""Yup, thats a hit""",0,0,0,0
"""Hey Netflix, there's a like in your dislikes...""",0,0,0,0
"""Hmm, I wonder what Ricey boy came up with in response?"" ""Maybe a bit of research?"" ""Maybe he took some of the feedback and improved?"" reads title ""Oh. This is just wonderful.""",1,1,1,1
"""How Can I Be Mad, Bitch I Live In A Mansion"" Next day gets evicted",0,0,0,0
"""How can you support a man who proudly says the N Word?"" Spends the majority of the song slandering gay people.""",0,0,0,0
"""How long do we have?"" ""Seven Days""  MCU Phase - The Ring: Origins",2,2,2,-
"""how much time do we have left?"" ""7 days"" Bruh maybe don't go to his house on horseback if there's 7 days left to save the world 🤣",1,1,1,1
"""How old are you?"" 18 years too young.",2,2,2,-
"""How the fuck can someone called Gum Not realize they're in a bubble?""  Pretty much sums up Rice's response.",2,2,2,-
"""How you gon' support a guy who proudly says the N-word?""  isn't rice good friends with keemstar?",2,2,2,-
"""how you gonna support a guy that probably says the n word""",2,2,2,-
"""How you gonna support a guy who probably says the N word?!"" Hey your friend Tanna, she says the N word. Hey your friend Keemstar, he says the N word too.",2,2,2,-
"""I don't want you to be cold"" wears sleeveless sweater",2,2,2,-
"""I know good music""     the irony",1,1,1,1
"""I love this song it's insane doods!!""",1,1,1,1
"""I see nothing wrong here"" - signed every child  predator",0,0,0,0
"""I want a content cop on me"" ""Why you so obsessed you creep?""",2,2,2,-
"""if she's old enough to breathe, she's old enough to breed.""   -Netflix",2,2,2,-
"""If this is what the end of the world look likes....at least we have front-row seats""   can't wait for this",1,1,1,1
"""if your aren't ready for my kiss then u can get my sweatshirt"" lmao and stuck in the friendship zone for eternity",2,2,2,-
"""Im yellow and I'm  fly like I'm  big bird "" the only remotely  decent lyric in this entire  lets call it a disstrack .",1,1,1,1
"""in the wraith i see stars like i'm ko'd, bitches chase me i don't got no time to chase hoes""🔥🔥🔥🔥🔥",0,0,0,0
"""It is better to be a warrior in a garden, than a gardener in a war""",2,2,2,-
"""It's not hip hop, it's pop"" 🤣🤣🤣🤣🤣🥴🥴🥴",2,2,2,-
"""It's November 15, let's see how many legends are listening to this beautiful masterpiece""",1,1,1,1
"""Jesus Christ you're as predicable as a house tour"" - idubbbz 2017   ricegum precedes to flex and give a house tour*",2,2,2,-
"""Jesus Christ, you're as predictable as a house tour!"" -iDubbbz rice does a house tour in his first response video and this diss track wtf",2,2,2,-
"""let me go ahead and just prove ian right about everything he said about me""",1,1,1,1
"""Lil pump is my favorite rapper"" Said no one.",0,1,1,-
"""Mistakes make you stronger""  Netflix after this : stronk",1,1,1,1
"""My grasp on sanity remains absolute""",2,2,2,-
"""My lean coat more then you're rent ""Yo  mama still live in a tent"" I love that part",1,2,2,-
"""My lean cost more than you rent"" - Albert Einstein",2,2,2,-
"""My lean cost more than your rent""  Nigga get a new dealer tf.",2,2,2,-
"""Netflix and chill is about to get Netflix and jail time"" - Mannix",2,2,2,-
"""Next time I see you, you'll be all in black"" - Game of Thrones or not, seeing Richard Madden in the same scene with Kit Harington would be very worth crying and nostalgia.",1,1,1,1
"""No make up with some sweatpants on"" the girl has about 3 pounds of makeup on and she's not wearing sweatpants.",2,2,2,-
"""Now here ladies and gentlemen, is an example of rap songs that have no sense whatsoever and just say random words as long as they rhyme. This will be remembered in history...and not in a good way...""",0,0,0,0
"""O moletom assasino"" kkkk só quem veio por causa da Roberta Pupi sabe ksks ◑ω◐ amo elaa",2,2,2,-
"""OMG this is a banger!""-said no one ever",0,0,0,0
"""PLEAS  LEAVE THE CHILDREN AS CHILDREN."" -Murat SONER",2,2,2,-
"""Please  leave the children as children""                                           - Murat Soner - Lütfen çocukları çocuk olarak bırakın",2,2,2,-
"""Please  leave the children as children"" -Murat SONER",2,2,2,-
"""please ,leave the children as CHILDREN""  Murat Soner.",2,2,2,-
"""Please leave the CHILDREN as CHILDREN!""  Murat Soner",2,2,2,-
"""Please leave the children as children."" -Murat Soner",2,2,2,-
"""PLEASE LEAVE THE CHILDREN AS CHILDREN."" -Murat Soner",2,2,2,-
"""please leave the children as children""  Murat Soner",2,2,2,-
"""Please leave the children as children"" - Murat Soner",2,2,2,-
"""Please leave the children as children"" -Murat Soner",2,2,2,-
"""please leave the children as children"" -Murat Soner",2,2,2,-
"""Ricegum flexes"" *proceeds to prove idubz right, says the word mansion twice in the same sentence, Legit needs a ghost writes. Creds to you for trying, but at least idubz actually tore into you like Germany will do against America in the next world cup",0,0,0,0
"""See how many likes we have"" The dislike button: Yes.",0,0,0,0
"""Shots are fired, I repeat, shots are fired!""  Yeah, the gun that I have aimed at my own head after listening to this.",0,0,0,0
"""Some topics you either do them right or you don't touch them"" - Felix",2,2,2,-
"""somewhere out there there are 4 terrible fathers I wish I could thank for this night"" (Ted)",1,1,1,1
"""Stay in school, dont do drugs, ESKEETIIIT"" - Lilliam Pumpernickel, 2018",2,2,2,-
"""Thanos Was Right""",2,2,2,-
"""The Internet tried to Brainwash me into thinking this song wasn't Hot""  Don't need to Brainwash anyone, this song is TRASH. But then again can we even call this a Ricegum Song? He didn't write it sooo what did he even ""Create""",0,0,0,0
"""The only man who can speak doctor's signature""",2,2,2,-
"""The world is a cruel place""                                              -Mikasa",2,2,2,-
"""There square root of 25 equals 5"" That's the most sense in this entire video",1,1,1,1
"""This is a social commentary against the hypersexualization of children and we stand by it."" Haha, content go brrrrrr",1,1,1,1
"""Too call you surface level would be an insult to ground floor""",0,0,0,0
"""Ur using me for attention"" proceeds to use Content Cop to make 4 videos",0,0,0,0
"""Watch a film about 11 year olds stealing money to twerk and being surprised when they are punished and told its bad""",0,0,0,0
"""We came here 7,000 years ago to protect humans from the Deviants"" ""Why didn't you guys help fight Thanos? Or any war? Or all the other terrible things throughout history?"" ""We were instructed not to interfere in any human conflicts unless Deviants were involved.""  Thanos: ""An Eternal–Deviant warlord from the moon Titan...""  Breh...Disney's Marvel continuity at its finest.",2,2,2,-
"""We didn't interfere because we were instructed not to.""  Tony Stark in the afterlife: ""Yeah, whatever.""",2,2,2,-
"""we love maps-we aam"" was starting a non-stop drama, lmao",2,2,2,-
"""We may speak different language"" ""but music is a language that all people understand""",2,2,2,-
"""We were instructed not to interfere unless Deviants were involved"" ""By who?"" Miss Minutes enters the chat",2,2,2,-
"""We were instructed not to interfere"" ""By who?""  ""Kevin Feige""",2,2,2,-
"""We were instructed not to interfere"" ""By who?"" Kevin Feige: * smoking nervously",2,2,2,-
"""we were told not to interfere""  tony stark: nice, everyone wanted to get me killed",2,2,2,-
"""We weren't allowed to interfere"" ""By whom"" Then that scene that gave me Endgame level goosebumps!",1,2,1,-
"""we've loved these people since the day we were created"" ""when you love something, you protect it""  doesn't help with wars and thanos",2,2,2,-
"""What's this even made of? Vibranium?""  splits table in half ""Fall collection. Ikea.""   lmao Ikaris was so confident😂",2,2,2,-
"""When I'm looking at his head, ooh that shit so gigantic"" Yeah, it's to store all his big brain energy",2,2,2,-
"""When im looking at his head that shit so gigantic"" the lack of self awareness is amazing",0,2,2,-
"""when you got no personality, replace it with a rolex""",2,2,2,-
"""When you love something, you fight for it.""  TVA: ""That's wasn't the line. You're coming with us.""",1,1,1,1
"""When you love something, you protect it."" -> Let Thanos kill half the population.",1,1,1,1
"""When you love something, you protect it."" Thanos from Sacred Timeline: Nope, you throw it.",1,1,1,1
"""When you love something, you protect it""",1,1,1,1
"""When you love something. You  protect it.""   The Soul stone would show otherwise.",1,1,1,1
"""When you've got no personality, replace it with a Rollex""",1,1,1,1
"""whenever comes a rapper with money or women, he has the most generic taste imaginable"" -idubbbz 2017   no one mention that until now",2,2,2,-
"""why did'nt you guys help stop thanos?"" THE REAL ANSWER -- ""Yeah, Marvel did'nt think about that"" -- Deadpool",2,2,2,-
"""Why didn't u guys help with Thanos"" Eternals:""Why didn't Thor go for the head""",2,2,2,-
"""Why didn't u guys help with Thanos"" Eternals:""Why didn't Thor go for the head""",2,2,2,-
"""Why didn't we help against Thanos?"" ""we weren't allowed to interfere in human conflicts...that also involved half of every species in the entire universe...the writers don't have a good reason so stop asking!""",2,2,2,-
"""Why didn't you guys help fight Thanos?""
 ""We were instructed not to interfere""
 ""By who?""
 ""Game of Thrones""",2,2,2,-
"""Why didn't you guys help fight Thanos?""  ""Fall collection was too good to pass up.""",2,2,2,-
"""Why didn't you guys help fight Thanos?""  ""It wasn't part of the movie script.""",2,2,2,-
"""Why didn't you guys help fight Thanos?""  ""There was complete lockdown and we couldn't get out.""",2,2,2,-
"""Why didn't you guys help fight Thanos?""  ""we couldn't find a way out of Ikea""",2,2,2,-
"""Why didn't you guys help fight Thanos?""  ""We hadn't been cast yet.""",2,2,2,-
"""Why didn't you guys help fight Thanos?""  Eternals : ""the budget""",2,2,2,-
"""Why didn't you guys help fight Thanos?""  Eternals : ""We were waiting for the Snyder Cut.""",2,2,2,-
"""Why didn't you guys help fight thanos?""  Eternals: ""Dr.Strange forgot to open a portal for us""",2,2,2,-
"""Why didn't you guys help fight thanos?""  Eternals: ""For Memes""",2,2,2,-
"""Why didn't you guys help fight thanos?""  Eternals: For youtube comments",2,2,2,-
"""Why didn't you guys help fight Thanos?""  Eternals: We wanted to see Endgame",2,2,2,-
"""Why didn't you guys help fight Thanos?""  Eternals: Why didn't you?",2,2,2,-
"""Why didn't you guys help fight Thanos?"" ""because Ramin Djawadi and Kit Harington were stuck in game of thrones and Angelina Jolie was too much to afford""",2,2,2,-
"""Why didn't you guys help fight Thanos?"" ""Because the one above the celestials told us not to interfere. "" ""Above the celestials??! "" "" Yes, the one called Kevin.""",2,2,2,-
"""Why didn't you guys help fight Thanos?"" ""Because we were scheduled in Phase 4 of the MCU""",2,2,2,-
"""Why didn't you guys help fight Thanos?"" ""Disney wasn't sure if we would make them any money yet""",2,2,2,-
"""Why didn't you guys help fight Thanos?"" ""Even a villain like Thanos still has...you know... plot armor...""",2,2,2,-
"""Why didn't you guys help fight Thanos?"" ""Kevin Feige has not recruited us yet""",2,2,2,-
"""Why didn't you guys help fight Thanos?"" ""Micky Mouse was printing money from  Infinity War and Endgame""",2,2,2,-
"""Why didn't you guys help fight Thanos?"" ""We were instructed not to inferfere"" ""By who?"" ""Kevin Feige""",2,2,2,-
"""Why didn't you guys help fight Thanos?"" ""We were instructed not to interfere"" ""By who?"" ""Regirock""",2,2,2,-
"""Why didn't you guys help fight Thanos?"" ""We were instructed not to interfere"" ""By who?"" ""The plot""",2,2,2,-
"""Why didn't you guys help fight Thanos?"" ""We weren't cast yet.""",2,2,2,-
"""why didn't you guys help fight thanos?"" ""we weren't casted yet""",2,2,2,-
"""Why didn't you guys help fight Thanos?"" Drax: ""I'll do you one better, WHO didn't you guys help fight Thanos?""",2,2,2,-
"""Why didn't you guys help fight thanos?"" Eternals : ""We weren't hired by marvel for endgame movie""   Wow guys. Thanks for this much likes. Never have got this much before for my comments..",2,2,2,-
"""Why didn't you guys help fight Thanos?"" Eternals: ""Because we're in phase 4.""",2,2,2,-
"""Why didn't you guys help fight Thanos?"" Eternals: ""You know nothing, Jon Snow""",2,2,2,-
"""Why didn't you guys help fight Thanos?"" Eternals: Dr. Strange told us not to interfere in the childrens party",2,2,2,-
"""Why didn't you guys help fight Thanos.""  Eternals: ""We forgot the part where that was our problem.""",2,2,2,-
"""Why didn't you guys help fight Thanos""  Because, he's Thena's cousin.  And, as wise Dom once said, Family is everything",2,2,2,-
"""Why didn't you guys help fight Thanos"" ""Because they had a hulk""",2,2,2,-
"""Why didn't you guys help fight Thanos"" ""Our contracts weren't signed yet""",2,2,2,-
"""why didn't you guys help fight thanos"" ""we were instructed not to interfere"" ""By who?"" ""Kevin feige""",2,2,2,-
"""Why didn't you guys help fight thanos"" Eternals: ""Well our script wasn't ready yet""",2,2,2,-
"""Why didn't you guys help to fight Thanos?""  ""We were instructed not to interfere""  ""By Whom""  ""Sorry, it's my choice, not to tell you""",2,2,2,-
"""Why didn't you guys help to fight Thanos?"" ""We were instructed not to interfere"" The Watcher: ""Wait, that is my line.""",2,2,2,-
"""Why didn't you guys help us fight Thanos?""  ""I'm sorry but we were too busy buying fall collection from IKEA.""",2,2,2,-
"""Why didn't you guys help with thanos""  Eternals: ""Avengers movie couldn't fit Angelina Jolie on the budget""",2,2,2,-
"""why didn't you guys help with Thanos""  Eternals: ""we want solo movie""",2,2,2,-
"""why didn't you help fight Thanos?'' Eternals: Our casting wasn't done yet.",2,2,2,-
"""Why didn't you help fight Thanos?""
 ""We are instructed not to""
 ""By who?""
 ""Kevin Feige""",2,2,2,-
"""Why didn't you help fight Thanos?""  ""The studio didn't think we'd make it this far.""",2,2,2,-
"""Why didn't you help fight Thanos?""  ""Well, we sent a rat""",2,2,2,-
"""Why didn't you help fight Thanos?""  Eternals: ""Marvel's budget was kinda tight""",2,2,2,-
"""Why didn't you help fight Thanos?"" ""I was building IKEA furniture""",2,2,2,-
"""why didn't you help fight Thanos?"" ""The movie would have ended in 5 minutes.""",2,2,2,-
"""Why didn't you help fight Thanos?"" ""We are instructed not to"" ""By who?"" ""Michael Scott Paper Company""",2,2,2,-
"""Why didn't you help fight Thanos?"" ""We were buying fall collection in ikea""",2,2,2,-
"""Why didn't you help fight Thanos?"" ""We were instructed not to,"" ""By who?""  T H I S  N O V E M B E R",2,2,2,-
"""Why didn't you help fight Thanos?"" Eternals: ""Well he kinda has a point""",2,2,2,-
"""why didn't you help fight Thanos?"" The Eternals: ""There was a pandemic...""",2,2,2,-
"""Why didn't you help fight Thanos""
 Eternals: Nobody thought this movie would ever get made.",2,2,2,-
"""Why didn't you help fight Thanos"" ""Assembling IKEA takes almost forever when you lost the instruction manual""",2,2,2,-
"""Why didn't you help us fight Thanos?""  ""You know nothing, Jon Snow""",2,2,2,-
"""Why didn't you help with Thanos?""  ""We have not been wrote in yet, we are more of an afterthought. I am glad you asked though, that'll stop people from asking it and pretty much allows us to not have to say that we are really just flying by the seat of our pants so get all the way off my back on that.""",2,2,2,-
"""Why didn't you intervene against Thanos?"" ""We have been instructed not to interfere in events"" ""By who?"" ""The screenwriters""",2,2,2,-
"""Why didn’t you guys help fight thanos?""  Eternals: We were watching in theatre and eating popcorns.",2,2,2,-
"""Why didn’t you guys help fight Thanos?"" ""Marvel said we didn't exist yet"" ""Oh, ok, that makes sense""",2,2,2,-
"""Why didn’t you guys help fight Thanos?"" ""We were waiting for the No Way Home trailer"" ""Fair""",2,2,2,-
"""Why didn’t you guys help fight thanos?"" Eternals: Well...disney didn’t pay us that time",2,2,2,-
"""Why didn’t you guys help fight Thanos..."" feels like a huge meme material for the future",2,2,2,-
"""Why didnt you fight Thanos?"" ""Because we were instructed not to"" ""By who?"" ""Plot convenience.""",2,2,2,-
"""Why didnt you fight thanos?"" ""We were instructed not to."" ""By who?"" ""The producers who only thought of making our movie until after endgame."" ""Understandable, have a great day""",2,2,2,-
"""Why didnt you guys stop thanos""  Enternals: because we wanted the endgame",2,2,2,-
"""With a special dedicatory to our old friend Jeffrey Epstein"" - Netflix",2,2,2,-
"""With great power comes great responsibility""  Eternals: ""Selective responsibility""",2,2,2,-
"""Yeah I'm yellow and I'm fly, call me big bird"" God. Congratulations, you just roasted yourself",1,1,1,1
"""yew can wer mi sweatsirt "" quote of the year",1,1,1,1
"""You are the definition of white is"" Literally the most true shit I've ever heard",0,0,0,0
"""You flex on all your fans""  ""How could I be mad when I sleep in a mansion?""   You just proved Ian right...",2,2,2,-
"""you know what's one thing that never saved the planet? Sarcasm!"" Ant Man: am I joke to you?",2,2,2,-
"""You're a big nerd."" Either you decided to not go with a ghost writer for this one, or you need to fire the one you have.",0,0,0,0
"""You're a woman now.""  When she isn't even old enough to make an Instagram account.",2,2,2,-
"""You're a woman now."" followed later by ""How old are you? 11.""   OK wtf is going on.",2,2,2,-
"""You're a woman now"" Girl looks like she's 7",2,2,2,-
"""You're a woman now"" NO!!! NO SHE IS NOT!! SHE'S 11!! SHE'S A KID!!!",2,2,2,-
"""you're a woman now"" she's 11",2,2,2,-
"""Your mom still living in a tent"" that shit disrespectful while y'all still hating",0,2,0,-
"""Youre a woman now"" UH NO RACHEL SHES 11",2,2,2,-
"“ i remember i was broke i couldnt dress alot, came up from nothings thats why i flex a lot “ that line is still fire in 2020",1,1,1,1
"“ with special thanks to our dearly deceased donor, Jeffrey Epstein “",1,1,1,1
"“2020 can’t get worse”  Netflix: Here’s “cuties”, a movie about little girls twerking.  NOOOOOOO!!!!!",0,0,0,0
“A boy who probably says the n word” didn’t you legit just say in the last video “probably? So he doesn’t know exactly”,2,2,2,-
"“A movie so comedic, I’m laughing and clapping my hands from my grave!” —Jeff Epstein.",0,1,0,-
"“Amy, 11, becomes fascinated with a twerking dance crew. Hoping to join them, she starts to explore her femininity, defying her family’s traditions.” This was the movie Description yesterday and i copied it. They changed it now, But it’s too late, what goes to the internet can never come back.",0,0,0,0
“And if your not ready for my kissssss” That had me DYINGGGGG,1,1,1,1
“As predictable as a house tour” just became sooooo much more accurate. Good job bud. More dense than a concrete milkshake.,1,1,1,1
“Bitches chase me I ain’t got no time to chase hoes” 😩🔥🙌🏾💯,1,0,1,-
“But mom I love her” 🤣,1,2,1,-
